count,lon,lat,area
61902,-122.7,45.4,"POLYGON((-122.7 45.4,-122.7 45.5,-122.6 45.5,-122.6 45.4,-122.7 45.4))"
55374,-122.6,45.4,"POLYGON((-122.6 45.4,-122.6 45.5,-122.5 45.5,-122.5 45.4,-122.6 45.4))"
21161,-122.5,45.4,"POLYGON((-122.5 45.4,-122.5 45.5,-122.4 45.5,-122.4 45.4,-122.5 45.4))"
8354,-122.4,45.4,"POLYGON((-122.4 45.4,-122.4 45.5,-122.3 45.5,-122.3 45.4,-122.4 45.4))"
2384,-122.3,45.4,"POLYGON((-122.3 45.4,-122.3 45.5,-122.2 45.5,-122.2 45.4,-122.3 45.4))"
48,-122.2,45.4,"POLYGON((-122.2 45.4,-122.2 45.5,-122.1 45.5,-122.1 45.4,-122.2 45.4))"
2,-122.1,45.4,"POLYGON((-122.1 45.4,-122.1 45.5,-122.0 45.5,-122.0 45.4,-122.1 45.4))"
1,-122.0,45.4,"POLYGON((-122.0 45.4,-122.0 45.5,-121.9 45.5,-121.9 45.4,-122.0 45.4))"
1,-121.9,45.4,"POLYGON((-121.9 45.4,-121.9 45.5,-121.8 45.5,-121.8 45.4,-121.9 45.4))"
199,-123.3,45.5,"POLYGON((-123.3 45.5,-123.3 45.6,-123.2 45.6,-123.2 45.5,-123.3 45.5))"
5848,-123.2,45.5,"POLYGON((-123.2 45.5,-123.2 45.6,-123.1 45.6,-123.1 45.5,-123.2 45.5))"
7414,-123.1,45.5,"POLYGON((-123.1 45.5,-123.1 45.6,-123.0 45.6,-123.0 45.5,-123.1 45.5))"
34818,-123.0,45.5,"POLYGON((-123.0 45.5,-123.0 45.6,-122.9 45.6,-122.9 45.5,-123.0 45.5))"
61304,-122.9,45.5,"POLYGON((-122.9 45.5,-122.9 45.6,-122.8 45.6,-122.8 45.5,-122.9 45.5))"
35689,-122.8,45.5,"POLYGON((-122.8 45.5,-122.8 45.6,-122.7 45.6,-122.7 45.5,-122.8 45.5))"
122031,-122.7,45.5,"POLYGON((-122.7 45.5,-122.7 45.6,-122.6 45.6,-122.6 45.5,-122.7 45.5))"
55415,-122.6,45.5,"POLYGON((-122.6 45.5,-122.6 45.6,-122.5 45.6,-122.5 45.5,-122.6 45.5))"
34484,-122.5,45.5,"POLYGON((-122.5 45.5,-122.5 45.6,-122.4 45.6,-122.4 45.5,-122.5 45.5))"
6696,-122.4,45.5,"POLYGON((-122.4 45.5,-122.4 45.6,-122.3 45.6,-122.3 45.5,-122.4 45.5))"
589,-122.3,45.5,"POLYGON((-122.3 45.5,-122.3 45.6,-122.2 45.6,-122.2 45.5,-122.3 45.5))"
82,-122.2,45.5,"POLYGON((-122.2 45.5,-122.2 45.6,-122.1 45.6,-122.1 45.5,-122.2 45.5))"
2,-122.1,45.5,"POLYGON((-122.1 45.5,-122.1 45.6,-122.0 45.6,-122.0 45.5,-122.1 45.5))"
32,-123.4,45.6,"POLYGON((-123.4 45.6,-123.4 45.7,-123.3 45.7,-123.3 45.6,-123.4 45.6))"
395,-123.3,45.6,"POLYGON((-123.3 45.6,-123.3 45.7,-123.2 45.7,-123.2 45.6,-123.3 45.6))"
1692,-123.2,45.6,"POLYGON((-123.2 45.6,-123.2 45.7,-123.1 45.7,-123.1 45.6,-123.2 45.6))"
844,-123.1,45.6,"POLYGON((-123.1 45.6,-123.1 45.7,-123.0 45.7,-123.0 45.6,-123.1 45.6))"
745,-123.0,45.6,"POLYGON((-123.0 45.6,-123.0 45.7,-122.9 45.7,-122.9 45.6,-123.0 45.6))"
2229,-122.9,45.6,"POLYGON((-122.9 45.6,-122.9 45.7,-122.8 45.7,-122.8 45.6,-122.9 45.6))"
1303,-122.8,45.6,"POLYGON((-122.8 45.6,-122.8 45.7,-122.7 45.7,-122.7 45.6,-122.8 45.6))"
7730,-122.7,45.6,"POLYGON((-122.7 45.6,-122.7 45.7,-122.6 45.7,-122.6 45.6,-122.7 45.6))"
68,-122.1,45.6,"POLYGON((-122.1 45.6,-122.1 45.7,-122.0 45.7,-122.0 45.6,-122.1 45.6))"
2,-122.0,45.6,"POLYGON((-122.0 45.6,-122.0 45.7,-121.9 45.7,-121.9 45.6,-122.0 45.6))"
26,-123.4,45.7,"POLYGON((-123.4 45.7,-123.4 45.8,-123.3 45.8,-123.3 45.7,-123.4 45.7))"
210,-123.3,45.7,"POLYGON((-123.3 45.7,-123.3 45.8,-123.2 45.8,-123.2 45.7,-123.3 45.7))"
143,-123.2,45.7,"POLYGON((-123.2 45.7,-123.2 45.8,-123.1 45.8,-123.1 45.7,-123.2 45.7))"
78,-123.1,45.7,"POLYGON((-123.1 45.7,-123.1 45.8,-123.0 45.8,-123.0 45.7,-123.1 45.7))"
32,-123.0,45.7,"POLYGON((-123.0 45.7,-123.0 45.8,-122.9 45.8,-122.9 45.7,-123.0 45.7))"
293,-122.9,45.7,"POLYGON((-122.9 45.7,-122.9 45.8,-122.8 45.8,-122.8 45.7,-122.9 45.7))"
47,-122.8,45.7,"POLYGON((-122.8 45.7,-122.8 45.8,-122.7 45.8,-122.7 45.7,-122.8 45.7))"
